% Model,※磁场聚焦光电阴极模型（30纳米-毫米尺度）.mph
% Version,COMSOL 6.4.0.293
% Date,"May 9 2026, 17:14"
% Dimension,1
% Nodes,50000
% Expressions,6
% Description,"粒子位置，x 分量, 粒子位置，y 分量, 粒子动能, 粒子速度，x 分量, 粒子速度，y 分量, 粒子速度，z 分量"
% 索引,qx (µm) @ t=0,qy (µm) @ t=0,cpt.Ep (J) @ t=0,cpt.vx (m/s) @ t=0,cpt.vy (m/s) @ t=0,cpt.vz (m/s) @ t=0
21,0.010054632499945383,0.013022304402226837,3.690689063232833E-20,41112.61595369611,-6489.457358663533,281599.13621418294
22,0.010063425010986102,0.013236462885445659,7.277543814072367E-20,-53288.383922883775,38291.177608611666,394303.40588828025
23,0.01007221752202682,0.013450621368664486,3.4975614139611603E-20,28741.725125884892,-34794.52058298275,273410.86771298625
24,0.010081010033067536,0.013664779851883309,3.597834801887965E-20,-25245.63670950288,21649.102007980382,279080.20333483
25,0.010089802544108255,0.013878938335102134,3.939659248506187E-20,14018.782698290608,740.1762106740571,293767.9144123072
26,0.010098595055148972,0.014093096818320956,6.07935170678623E-20,9649.330190833389,-59468.26015836882,360339.78042606986
27,0.010107387566189688,0.01430725530153978,2.297852281361079E-20,-18788.381217957773,6553.078376247552,223728.08826236136
28,0.010116180077230403,0.014521413784758602,6.558667714646354E-20,7433.9362193631205,37483.00534549414,377541.5785235426
29,0.01012497258827112,0.014735572267977427,2.4428501087488975E-20,11714.914219719993,-9790.462064810336,231085.67921788053
30,0.010134612791697953,0.0119231431885089,3.7355380125239376E-20,28191.188346007562,41578.95272290463,281942.4689697048
31,0.010144056988511594,0.012138095753139604,1.729436768312049E-20,7480.820842779648,24618.259716765173,193153.85476568475
32,0.010153501185325233,0.01235304831777031,3.138792627805524E-20,18328.316431827316,44051.988948736784,258141.1375589326
33,0.010162945382138872,0.012568000882401014,6.882760368288025E-20,53581.05676410647,-42612.93590540167,382657.3547876787
34,0.01017238957895251,0.012782953447031719,5.956740125007942E-20,-40898.02949072368,-39692.281975497914,357119.35909211665
35,0.010181833775766149,0.012997906011662425,3.1931982646384386E-20,-18500.443791451442,9572.757344919844,263958.2217641255
36,0.010191277972579788,0.013212858576293127,6.469738211265793E-20,56422.97677315164,-35691.202689102785,370928.5534890826
37,0.010200722169393427,0.013427811140923831,3.5596231065633746E-20,15935.663625984154,-29947.756266890134,277492.3799812483
38,0.010210166366207064,0.013642763705554537,1.5336371953904397E-20,10100.056976186996,8793.147621703396,183008.8810780108
39,0.010219610563020702,0.013857716270185241,5.963777027349429E-20,-46605.75260254387,-37024.56756253967,356922.88445190486
40,0.01022905475983434,0.014072668834815944,2.4621874000187997E-20,12076.667294111845,27890.246489847697,230509.28177625837
41,0.010238498956647982,0.01428762139944665,7.741362852102217E-20,28607.721046692626,32728.740090245497,409969.225749167
42,0.010247943153461619,0.014502573964077356,5.802985240575685E-21,1322.1588650309977,-7003.389848485383,112649.362518206
43,0.010257387350275256,0.01471752652870806,5.241482390814266E-20,23494.064224931433,-53339.14564242505,334187.9749045302
44,0.010201306313582851,0.012016435072012341,4.4522012940939124E-20,11772.926430121157,6893.728916148562,312351.6856471606
45,0.01021107635328295,0.012231784677348985,1.8754886188761343E-20,-16603.270911350803,-942.6290494562405,202238.71513615805
46,0.010220846392983048,0.01244713428268563,6.771677741875497E-20,-44158.9291936532,-4154.3682690184505,383023.91302298533
47,0.01023061643268315,0.01266248388802228,4.8788609251185317E-20,4091.7932108908476,-1112.2983695306086,327260.11065792764
48,0.010240386472383251,0.012877833493358923,7.939038479132063E-20,46498.80221113744,-54709.10509686073,411277.454854475
49,0.010250156512083351,0.013093183098695569,2.1183841806503672E-20,11947.781186701794,-19563.275507193033,214439.83962513314
50,0.01025992655178345,0.013308532704032212,7.97888897192722E-20,-16506.628199370538,-73227.6935650025,411757.8609532059
51,0.010269696591483548,0.013523882309368858,3.139057867275788E-20,23.02425539740017,47998.01815405041,258099.5252741975
52,0.010279466631183648,0.013739231914705502,7.338393353337824E-20,17273.428556094997,-1986.4237582548865,401017.07708495844
53,0.010289236670883748,0.013954581520042147,2.404659670931397E-20,-22446.286710112545,-4970.864749799573,228619.01346780692
54,0.010299006710583846,0.014169931125378791,2.995115243774472E-21,4888.893830125718,-107.50092275239841,80944.28187337656
55,0.010308776750283945,0.014385280730715438,6.754030607397148E-20,59482.547389634114,11342.698875390977,380289.7695623892
56,0.010318546789984045,0.01460063033605208,7.292511537623602E-20,28917.098842513526,59782.67597221766,394587.75488918094
57,0.010324923317652545,0.011987669233682588,1.9843609037755595E-20,34655.04471988095,7591.659659326271,205690.98318392385
58,0.010335345043125568,0.012203812920431111,4.4731657063972876E-21,79.77517687103325,18034.022993712202,97446.2573213441
59,0.010345766768598589,0.012419956607179638,2.556745333351724E-20,14823.283865985497,-32921.76597359042,234159.60794694923
60,0.010356188494071609,0.012636100293928164,3.999459910917725E-21,-3113.3050191618167,-16194.441239848738,92244.3159025193
61,0.01036661021954463,0.012852243980676688,3.122424111204541E-20,33850.70341841242,-24975.164724266873,258426.67470810257
62,0.010377031945017651,0.013068387667425213,1.837428248098235E-20,10843.438892771832,-16508.88669413048,199878.2183020379
63,0.010387453670490675,0.013284531354173738,4.736981562843357E-20,-6578.8730318906,-2657.4472759200653,322415.5800536485
64,0.010397875395963695,0.013500675040922264,7.499148004413223E-20,-26341.017171059426,-19472.17532112819,404442.1079965631
65,0.010408297121436717,0.01371681872767079,5.248889129384406E-20,-37206.058698243985,-41112.82142495411,334912.97473803995
66,0.010418718846909735,0.013932962414419317,2.3177913491526807E-20,-31287.731436411923,15756.619773263274,222846.9875528655
