% Model,※磁场聚焦光电阴极模型（30纳米-毫米尺度）.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 25 2026, 01:49"
% Dimension,1
% Nodes,50000
% Expressions,6
% Description,"粒子位置，x 分量, 粒子位置，y 分量, 粒子动能, 粒子速度，x 分量, 粒子速度，y 分量, 粒子速度，z 分量"
% 索引,qx (µm) @ t=0,qy (µm) @ t=0,cpt.Ep (J) @ t=0,cpt.vx (m/s) @ t=0,cpt.vy (m/s) @ t=0,cpt.vz (m/s) @ t=0
22,-8.282594380549903E-4,0.016872833898212886,1.746613775932299E-19,-134444.7935100122,-96607.34831619199,-596712.760583046
23,-6.270362462866166E-4,0.017210768136701474,8.394154925493523E-20,72521.1416324131,87793.55950898987,-413919.7629342962
24,-5.264246504024299E-4,0.01737973525594577,8.634811492278644E-20,-63872.81039677518,-54773.38534684969,-427200.68585073174
25,-4.258130545182427E-4,0.017548702375190066,9.455191751981501E-20,35556.883280615046,-1877.3640833475881,-454229.20597099274
26,-3.2520145863405565E-4,0.017717669494434356,1.4590466848415772E-19,24343.631823194366,150028.38558022617,-545194.7260038527
27,-2.2458986274986878E-4,0.017886636613678654,5.514848725840583E-20,-47598.15831596526,-16601.4548241886,-344295.3610211946
28,-0.001655042105255166,0.015730673890313365,1.574082899643528E-19,18823.806601526416,-94912.41552890406,-579855.3405385503
29,-0.001554531198292898,0.015900663321338052,5.862843934108184E-20,29700.426644732775,24821.428046349673,-356682.8027423774
30,-0.0014540202913306305,0.016070652752362736,8.965299818701135E-20,71065.83756627617,-104814.42158859124,-425205.64846054965
31,-0.001353509384368363,0.016240642183387426,4.150650084912318E-20,18912.89893557586,-62239.514590478306,-294783.96205379185
32,-0.0012529984774060955,0.016410631614412113,7.533108373065023E-20,46179.93983395647,-110993.1840595116,-388509.93629809085
33,-0.0011524875704438278,0.016580621045436797,1.6518654045859808E-19,135062.65965045418,107415.13524521212,-576968.2228553784
34,-9.514657565192924E-4,0.016920599907486168,1.4296198145047562E-19,-103231.95817918115,100188.4942613249,-541463.8482072148
35,-8.509548495570246E-4,0.017090589338510858,7.663682110528443E-20,-46885.230172913405,-24260.00892548331,-406782.5706884152
36,-7.504439425947571E-4,0.017260578769535538,1.552739747454324E-19,142214.90541042614,89960.1776563902,-559098.4364467082
37,-6.499330356324893E-4,0.01743056820056022,8.543103256625915E-20,40311.817896744025,75757.65436454439,-424502.69465683214
38,-5.494221286702217E-4,0.017600557631584912,3.680730718534369E-20,25601.01893471307,-22288.343450904114,-282240.34497992403
39,-4.48911221707954E-4,0.0177705470626096,1.4313086759784677E-19,-117581.92018032711,93409.4935656515,-540090.3841921838
40,-3.484003147456864E-4,0.017940536493634286,5.909253489515185E-20,30534.339319495328,-70516.9919221496,-351901.67052439816
41,-0.0016660373997794656,0.015835973519230988,1.857930773484108E-19,72423.794094598,-82856.63612990214,-629129.5443394661
42,-0.0015655768372781573,0.016006474106145866,1.3927166627094614E-20,3352.2795235870367,17756.807450082368,-173928.3665456509
43,-0.0014651162747768497,0.016176974693060748,1.257957465202194E-19,59241.35013070202,134497.0785992066,-504568.85524264607
44,-0.0013646557122755417,0.016347475279975626,1.0685295311535525E-19,29862.909183928845,-17486.45944434481,-483116.66537525295
45,-0.0011637345872729254,0.016688476453805397,4.5011748483638746E-20,-42072.560700724855,2388.6147562888677,-311527.0875641492
46,-0.0010632740247716174,0.016858977040720275,1.6252054813014642E-19,-111742.9014738118,10512.509534256993,-586704.3733560779
47,-9.628134622703095E-4,0.017029477627635153,1.1709280874630214E-19,10382.937346957422,2822.460394924215,-506917.5597142068
48,-8.623528997690015E-4,0.017199978214550035,1.90537311502593E-19,117247.38136597311,137949.7751438063,-620929.4632102284
49,-7.618923372676936E-4,0.017370478801464917,5.084124797367402E-20,30246.038760779684,49524.80967235686,-329023.2041478816
50,-6.614317747663857E-4,0.0175409793883798,1.9149372726852612E-19,-41597.99044747677,184539.4989585996,-620197.6300837765
51,-5.609712122650774E-4,0.017711479975294684,7.533744947478799E-20,58.006768064341244,-120925.07916344723,-388308.0509095408
52,-4.605106497637695E-4,0.01788198056220956,1.7612177198261077E-19,43815.60077574984,5038.742023942293,-620270.6152904073
53,-0.001788488551329373,0.01587607219015134,5.771186769683144E-20,-56838.82973120427,12587.299573403987,-351168.59764230135
54,-0.0016881286777499845,0.016047595088846612,7.188277154948207E-21,12396.508500953565,272.58438187973303,-125013.54859504625
55,-0.0015877688041705956,0.016219117987541887,1.620970153882084E-19,150145.24647293042,-28631.12615467098,-576650.498487624
56,-0.0013870490570118185,0.01656216378493243,1.750206042903007E-19,72947.34838570622,-150810.00052341644,-596823.4411703887
57,-0.0012866891834324296,0.016733686683627704,4.762468591249035E-20,87396.36126026505,-19145.36355426578,-310736.3149917537
58,-0.0011863293098530407,0.016905209582322975,1.0735598926440697E-20,200.99753684568927,-45437.62036422203,-146648.54330158577
59,-0.001085969436273652,0.017076732481018247,6.136192826108615E-20,37429.052909848586,83128.0390803773,-355543.3893475563
60,-9.856095626942633E-4,0.01724825537971352,9.59870478429626E-21,-7847.836269848405,40821.995451711315,-139090.96139185672
61,-8.852496891148744E-4,0.017419778278408793,7.49382386867717E-20,85425.36555487364,63027.126792384486,-391483.8804211282
62,-7.848898155354857E-4,0.017591301177104064,4.409829873170923E-20,27459.917451386627,41807.0937013632,-307111.6107056256
63,-6.845299419560968E-4,0.017762824075799336,1.1368769561985256E-19,-16692.798683489353,6742.831511398365,-499280.5267120484
64,-5.841700683767079E-4,0.01793434697449461,1.799798982807129E-19,-66750.75876468058,49344.42998322215,-623105.8528671366
