% Model,※磁场聚焦光电阴极模型（30纳米-毫米尺度）.mph
% Version,COMSOL 6.4.0.293
% Date,"May 11 2026, 11:47"
% Dimension,1
% Nodes,50000
% Expressions,6
% Description,"粒子位置，x 分量, 粒子位置，y 分量, 粒子动能, 粒子速度，x 分量, 粒子速度，y 分量, 粒子速度，z 分量"
% 索引,qx (µm) @ t=0,qy (µm) @ t=0,cpt.Ep (J) @ t=0,cpt.vx (m/s) @ t=0,cpt.vy (m/s) @ t=0,cpt.vz (m/s) @ t=0
46,-0.14279999059972634,-0.042508187026118804,6.771677741875497E-20,-44158.9291936532,-4154.3682690184505,383023.91302298533
47,-0.14279998969002244,-0.04178317286735611,4.8788609251185317E-20,4091.7932108908476,-1112.2983695306086,327260.11065792764
48,-0.14279998878031855,-0.04105815870859342,7.939038479132063E-20,46498.80221113744,-54709.10509686073,411277.454854475
49,-0.14279998787061465,-0.04033314454983071,2.1183841806503672E-20,11947.781186701794,-19563.275507193033,214439.83962513314
50,-0.14279998696091073,-0.03960813039106802,7.97888897192722E-20,-16506.628199370538,-73227.6935650025,411757.8609532059
51,-0.1427999851415029,-0.03815810207354263,3.139057867275788E-20,23.02425539740017,47998.01815405041,258099.5252741975
52,-0.14279998423179902,-0.037433087914779936,7.338393353337824E-20,17273.428556094997,-1986.4237582548865,401017.07708495844
53,-0.14279998332209512,-0.036708073756017236,2.404659670931397E-20,-22446.286710112545,-4970.864749799573,228619.01346780692
54,-0.14249999939353072,-0.04951665722749154,2.995115243774472E-21,4888.893830125718,-107.50092275239841,80944.28187337656
55,-0.14249999848382683,-0.048791643068728845,6.754030607397148E-20,59482.547389634114,11342.698875390977,380289.7695623892
56,-0.14249999757412296,-0.048066628909966144,7.292511537623602E-20,28917.098842513526,59782.67597221766,394587.75488918094
57,-0.14249999666441904,-0.04734161475120345,1.9843609037755595E-20,34655.04471988095,7591.659659326271,205690.98318392385
58,-0.14249999575471514,-0.04661660059244075,4.4731657063972876E-21,79.77517687103325,18034.022993712202,97446.2573213441
59,-0.14249999484501122,-0.04589158643367806,2.556745333351724E-20,14823.283865985497,-32921.76597359042,234159.60794694923
60,-0.1424999930256034,-0.04444155811615266,3.999459910917725E-21,-3113.3050191618167,-16194.441239848738,92244.3159025193
61,-0.1424999921158995,-0.043716543957389976,3.122424111204541E-20,33850.70341841242,-24975.164724266873,258426.67470810257
62,-0.14249999120619558,-0.04299152979862727,1.837428248098235E-20,10843.438892771832,-16508.88669413048,199878.2183020379
63,-0.14249999029649169,-0.042266515639864576,4.736981562843357E-20,-6578.8730318906,-2657.4472759200653,322415.5800536485
64,-0.1424999893867878,-0.04154150148110188,7.499148004413223E-20,-26341.017171059426,-19472.17532112819,404442.1079965631
65,-0.1424999884770839,-0.04081648732233918,5.248889129384406E-20,-37206.058698243985,-41112.82142495411,334912.97473803995
66,-0.14249998756737997,-0.04009147316357648,2.3177913491526807E-20,-31287.731436411923,15756.619773263274,222846.9875528655
67,-0.1424999866576761,-0.03936645900481379,2.3896978887140702E-20,-29022.409390109333,16479.250259035816,226611.65312460435
68,-0.14249998574797218,-0.038641444846051094,2.710053136343126E-20,-42195.606821634196,-5261.847982014177,240191.72813244845
