% Model,※磁场聚焦光电阴极模型（30纳米-毫米尺度）.mph
% Version,COMSOL 6.4.0.293
% Date,"May 9 2026, 18:36"
% Dimension,1
% Nodes,1000
% Expressions,6
% Description,"粒子位置，x 分量, 粒子位置，y 分量, 粒子动能, 粒子速度，x 分量, 粒子速度，y 分量, 粒子速度，z 分量"
% 索引,qx (µm) @ t=0,qy (µm) @ t=0,cpt.Ep (J) @ t=0,cpt.vx (m/s) @ t=0,cpt.vy (m/s) @ t=0,cpt.vz (m/s) @ t=0
1,0.010379575140296856,0.012467165023264774,6.248568413666455E-20,-49493.41684209811,-30185.65340103134,365826.15812745213
2,0.010458959992168743,0.014089731576525995,3.643191916270415E-21,-4297.800555456133,1325.5322079550988,89322.66456028302
3,0.010893217573500093,0.013183232078660642,7.274142586175277E-20,-8032.025585809036,-26889.150180531888,398646.2431103479
4,0.01182278892567125,0.012970466096482012,7.824993976546954E-20,-8123.987167710681,-405.1985901061846,414408.4011190547
5,0.0140581345654134,0.007287396045980582,9.940130716021335E-21,-2282.7721464250894,16208.178058547765,146819.67417376963
6,0.014539564705999168,0.008308782940653096,5.3322449735990325E-20,12232.397942593272,-57177.18005747964,337123.8643920134
7,0.014567682670169342,0.0076245647336831476,7.966071995507775E-20,-71519.36724095464,11162.696090803336,411895.9497925134
8,0.015094024227251618,0.007271462136726026,1.8160105910465728E-20,17760.997538162115,7526.941503228285,198743.76786538877
9,0.015614896843851386,0.007614683902118328,5.705939993148209E-20,4141.109998901572,-10669.342194766508,353758.36113477976
10,0.014344175017166947,0.010247231608759419,4.891599527566789E-21,9691.433742127245,-9537.841327656462,102736.54844176967
11,0.013144109849838291,0.010013745985685312,4.0167012148223046E-20,-12448.775578209139,-28436.00030255384,295338.0552578927
12,0.013708662322690078,0.010483337593617303,5.084171871497372E-20,39216.70876669143,-25329.177766582394,330825.20242422685
13,0.01249867113771291,0.010241705898381675,2.6495063453507113E-20,11716.941192681028,34525.14905478441,238414.81348162648
14,0.012397932863142305,0.010922965274686983,6.365323826953494E-20,33038.9739499601,52350.745435594305,368674.354123078
15,0.01296248533599409,0.011392556882618974,9.635992951688429E-21,-4854.525247817301,11368.43956089377,144925.426144263
16,0.01717783444303641,0.003976030837562505,1.510703361561923E-20,-24788.26581015597,839.8385276776448,180424.21371804064
