% Model,※磁场聚焦光电阴极模型（30纳米-毫米尺度）.mph
% Version,COMSOL 6.4.0.293
% Date,"May 13 2026, 21:23"
% Dimension,2
% Nodes,50000
% Expressions,2
% Description,庞加莱图
% cpl1x,cpl1y,Color,Radius
2.9532723232497877E-4,0.016559741200145202,0,1
-0.0020643097724408893,0.015832417355239117,0,1
-0.0013454161096274038,0.017216587073136096,0,1
-0.0014771560903465305,0.0160234113883863,0,1
-0.0022592610105182614,0.01716251833044678,0,1
-0.0023704509938715923,0.017662346264609274,0,1
0.0016757215990291846,0.015652556379199167,0,1
-0.001802098957102011,0.01693257589244296,0,1
-0.0027063750827230892,0.017083048571515554,0,1
-0.0019167373191970216,0.016141678110214507,0,1
-0.0027499360501463343,0.017141360245156903,0,1
-0.0038729989273284,0.01792887904852579,0,1
-0.003087704591457928,0.01822198323011599,0,1
-0.004738017536023472,0.01574391964720015,0,1
-0.0018949882595938286,0.01638896768826269,0,1
-0.0028564333406664185,0.01581615232550217,0,1
-7.515256201370764E-4,0.013033592201628268,0,1
-0.0022799167370329988,0.01566742026418559,0,1
-3.430090906827323E-4,0.014709359801295261,0,1
-0.002371390596816027,0.018076429053401004,0,1
-0.0022703720845415405,0.016639422000272627,0,1
2.3792179688437763E-5,0.01472201811673727,0,1
-0.002520218258160679,0.016879059657147314,0,1
-0.002989579980900924,0.01715535642781842,0,1
-0.003061918166596086,0.017321015814920387,0,1
-0.0033310281105883768,0.019456426244771407,0,1
-0.0037997498965800414,0.01772625144886606,0,1
-0.0018408448742697253,0.014223806882440475,0,1
-0.0012769849496667022,0.015687157239706595,0,1
-0.0017580344096984,0.0161651790017909,0,1
-0.0015919167875675768,0.01722276966863631,0,1
-0.0018462077835791862,0.016911128228082235,0,1
-0.004340294275456416,0.01846266910419718,0,1
-9.700800833674692E-4,0.01796602255233194,0,1
-0.0026968812327829387,0.016980623299624315,0,1
-0.00471184865157485,0.018567142548434407,0,1
-0.002646903652757338,0.017152505554374337,0,1
-0.002454399773650613,0.017794541964388618,0,1
-0.001453949672776757,0.018600075754751654,0,1
-0.0029230135814651836,0.018371328534069677,0,1
-0.0031307672969705614,0.01410395117768921,0,1
-0.0014698576384024676,0.015467885701532584,0,1
-0.0021225307682475082,0.017368848152184823,0,1
-0.0020109598487220944,0.01624103187245614,0,1
-0.002730339592410205,0.01652322393563757,0,1
-3.109403272917349E-4,0.01682336034731737,0,1
-0.0024542162879332033,0.016919839001368526,0,1
-0.004994964702013415,0.020227758011322962,0,1
-0.002222112622727816,0.016592895724611235,0,1
-0.0016651535290613713,0.02142828066776528,0,1
-0.0030059363903603715,0.018061966810633944,0,1
-0.003925150949572004,0.01777169528134838,0,1
-0.0019038932184617895,0.015746482050320306,0,1
-0.0010315706051466213,0.016073628815791337,0,1
-0.004160197895093553,0.015871221961049054,0,1
-0.003424222254211559,0.013663993183159955,0,1
-7.901748613016141E-4,0.017009891423725648,0,1
-0.0021807120946505235,0.018326700121506997,0,1
-0.0018596986864786193,0.016241375386812754,0,1
-0.0026219372572139953,0.01570266682908824,0,1
-0.0020739307048330364,0.017029978736133135,0,1
-0.002212424818392857,0.01680111953960137,0,1
-0.002679488921274817,0.017585387581000117,0,1
-0.0014781348290530618,0.01867713897358506,0,1
-4.432765877851107E-4,0.016859377634459757,0,1
-0.0023941465480100594,0.016546847589445045,0,1
-0.0025468443142274335,0.016842679704453193,0,1
-0.002720632613341085,0.016427395807228816,0,1
-0.0034354986773688606,0.016049253914773774,0,1
-0.002805154786047641,0.018054012538583592,0,1
-0.0023926035933023258,0.01728073215765148,0,1
-0.0024269327369548332,0.017029051289180277,0,1
-0.0063457178308364,0.01904505867904145,0,1
-0.002055295752465362,0.0179199613154731,0,1
-0.0029045519388579805,0.017077244763071726,0,1
-9.218813696450552E-4,0.013647602503489816,0,1
-0.0014296669706860535,0.0145253925966555,0,1
-0.0027282260917806315,0.01712904887171531,0,1
-0.0018352814077554696,0.01626925074019657,0,1
-0.002556675752199454,0.017389898640743064,0,1
-0.0020108160793943265,0.017096973221512973,0,1
-6.510252018831744E-4,0.018414210077017205,0,1
-0.0033203166967691986,0.01698177523956571,0,1
-0.0028002321698424463,0.017019861036389323,0,1
-0.0036494814387149853,0.017668419036438225,0,1
-0.002408537104179066,0.017983964015417738,0,1
-0.0010471995496000466,0.0153188499995325,0,1
-0.0020252849644456067,0.017661764503060916,0,1
-1.2622691492814891E-5,0.01592787757994198,0,1
-0.0019956942233385734,0.01789246322385196,0,1
-0.0015232654889133406,0.016017006856679446,0,1
-0.00202665708041726,0.01704117474119837,0,1
-0.001196575006381682,0.017163061897900334,0,1
0.0012707734792947317,0.01683934519495616,0,1
-0.0028353652682773277,0.01805709819609856,0,1
-0.002373284735561626,0.017957188536639336,0,1
-0.0011867453729032724,0.016541393912250724,0,1
-0.004122372290721617,0.016982539502258313,0,1
-0.0022092659363743654,0.01628515306971884,0,1
-0.0023012583390142408,0.018062983483763735,0,1
-0.0018860135627064543,0.01706983971111675,0,1
-0.0015618476906574918,0.01678560781437461,0,1
-0.0026924394030119667,0.017624002253533916,0,1
-0.0023384917893845385,0.017769449691653613,0,1
-0.0028713513243505276,0.017182395778510322,0,1
-0.0029170973576531627,0.01768483926369686,0,1
-7.012382431324464E-4,0.017301762002475466,0,1
