% Model,※磁场聚焦光电阴极模型（30纳米-毫米尺度）.mph
% Version,COMSOL 6.4.0.293
% Date,"May 11 2026, 12:53"
% Dimension,2
% Nodes,50000
% Expressions,2
% Description,庞加莱图
% cpl1x,cpl1y,Color,Radius
-0.7371643504350847,-2.798263676293586,0,1
-0.7379215450883977,-2.797470905507317,0,1
-0.7372422599802627,-2.796454938899583,0,1
-0.73718529035244,-2.796246999107959,0,1
-0.7376346904179168,-2.7939516556620356,0,1
-0.7372999445969503,-2.795238275083008,0,1
-0.73560391610345,-2.7943701602496325,0,1
-0.7361701121568941,-2.7927582727223963,0,1
-0.7373978443446498,-2.7926222570373125,0,1
-0.7363085803189847,-2.79289603454622,0,1
-0.7377326113602483,-2.7911844010214963,0,1
-0.7369755512816978,-2.789988317444732,0,1
-0.7368069167566734,-2.787159591450891,0,1
-0.737597722880684,-2.7885884146029607,0,1
-0.7378795637950292,-2.786439024722421,0,1
-0.7393431293585448,-2.786733485120495,0,1
-0.737062511978714,-2.786928096589485,0,1
-0.738775675907766,-2.786741129593882,0,1
-0.7370871958847159,-2.78492051439392,0,1
-0.7371134402120978,-2.798059743459075,0,1
-0.7357489332582234,-2.796895124646404,0,1
-0.7361793256697896,-2.7966688841547107,0,1
-0.7360475458075684,-2.79650213587142,0,1
-0.7379620902262766,-2.7937855792712347,0,1
-0.7367170497995206,-2.7937769877901513,0,1
-0.7371232466679678,-2.7929638077331975,0,1
-0.7382090420293848,-2.7919573635510466,0,1
-0.7371754119769155,-2.7920280965500663,0,1
-0.7364540769107649,-2.791426429523482,0,1
-0.7361875772279795,-2.788814475521307,0,1
-0.7365837922841073,-2.7869282101302044,0,1
-0.7363229228462408,-2.7860898384646333,0,1
-0.7377584844670946,-2.786803507415003,0,1
-0.7370725660489879,-2.7865563973932908,0,1
-0.7378633143200667,-2.785448968264806,0,1
-0.7375002570577742,-2.784899999515038,0,1
-0.7359432535857712,-2.799408200544931,0,1
-0.7357351818402093,-2.796947297186198,0,1
-0.7364654419441667,-2.796927299084594,0,1
-0.7358416877859633,-2.794636156608182,0,1
-0.7371967766653902,-2.7956002176774484,0,1
-0.7363605767375252,-2.7947612689139665,0,1
-0.7362817250721918,-2.7938288485019873,0,1
-0.736278294236753,-2.792466269026661,0,1
-0.7376396837573028,-2.7919202619078827,0,1
-0.7359608496965638,-2.7911288904853615,0,1
-0.7364536623142933,-2.7904482731770224,0,1
-0.7376622454869228,-2.7883806700725495,0,1
-0.7357510298074138,-2.7901782033032854,0,1
-0.7360883848512271,-2.786458705928552,0,1
-0.7365194385665481,-2.784716169880085,0,1
-0.7368591402341138,-2.7860846064765803,0,1
-0.7377764373876209,-2.785632499329765,0,1
-0.7356151547436096,-2.798107270424436,0,1
-0.7368587312838335,-2.7975714872335438,0,1
-0.7367043069908069,-2.7977674111298514,0,1
-0.7338991349492898,-2.7954214016648424,0,1
-0.7362315892243527,-2.7931365887460022,0,1
-0.7353941816587926,-2.79627532228747,0,1
-0.7365562094022521,-2.7949437135240456,0,1
-0.7347402128247903,-2.793410731824379,0,1
-0.7354491952009395,-2.792742011912586,0,1
-0.7363016276421661,-2.790953821739739,0,1
-0.7356300579396963,-2.789800399834765,0,1
-0.7365425262258684,-2.7898455383550096,0,1
-0.738063327611063,-2.7877998454363757,0,1
-0.7378812715163462,-2.7870608669476056,0,1
-0.7383721679915495,-2.7875575898148446,0,1
-0.7383778714209861,-2.7875553862764257,0,1
-0.7364911606204891,-2.7967527318606757,0,1
-0.7358101836136094,-2.79719020205411,0,1
-0.735701250854271,-2.796380054288649,0,1
-0.7372364141143493,-2.7956136046478828,0,1
-0.7344755667854711,-2.7947987956170053,0,1
-0.7357827992280518,-2.795590685619802,0,1
-0.7354492313074523,-2.794939709141371,0,1
-0.7356009094741236,-2.793370862135591,0,1
-0.7371558762519604,-2.791674183083217,0,1
-0.7359795944074471,-2.793113918530591,0,1
-0.736852286675526,-2.7892150200325863,0,1
-0.7353609313828176,-2.790418193202079,0,1
-0.7354546598895041,-2.788854703521193,0,1
-0.7378850940199296,-2.7887384346602557,0,1
-0.7354601306803412,-2.7873349152798657,0,1
-0.7374979421706253,-2.786560616082464,0,1
-0.7361054442877825,-2.786747141149297,0,1
-0.7350222410830811,-2.79958887553872,0,1
-0.7353779042755219,-2.797291535250796,0,1
-0.7353883500043695,-2.7966801769927803,0,1
-0.73559885703952,-2.7930647255843266,0,1
-0.7346000922656967,-2.7966695491581635,0,1
-0.7360618645283028,-2.7942770525808256,0,1
-0.7337184748305184,-2.7932502030025583,0,1
-0.7338947096213861,-2.792549883261526,0,1
-0.7362816004081519,-2.7899762321908317,0,1
-0.7343301701798249,-2.7900512138674216,0,1
-0.735375695122636,-2.789767182248855,0,1
-0.736160557102293,-2.7893654073071583,0,1
-0.7368712562202259,-2.789546704688685,0,1
-0.7356003472937638,-2.7868357599050584,0,1
-0.7341983252067203,-2.785799392707919,0,1
-0.7339173609944447,-2.7993269994703875,0,1
-0.7358810374614132,-2.796976697924109,0,1
-0.7350006345516779,-2.7960654315489815,0,1
-0.736002905107742,-2.7970796792955515,0,1
-0.7361313241264349,-2.7955577000380254,0,1
-0.7336260537662548,-2.7928393918133807,0,1
-0.736050978461641,-2.795602196192095,0,1
-0.7352331137412628,-2.792833868274887,0,1
-0.7353228598878306,-2.7912934707300465,0,1
-0.7347491864083135,-2.791114692771398,0,1
-0.7359516734030807,-2.7880955405515957,0,1
-0.7347602505061118,-2.789940513684287,0,1
-0.7340077420253437,-2.789530463317215,0,1
-0.7350097411197468,-2.7888080573274356,0,1
-0.7349971030620917,-2.787654781585041,0,1
-0.7355106607325465,-2.7864336307915196,0,1
-0.7354156118766351,-2.7979068875394644,0,1
-0.7349325581573531,-2.797892860511065,0,1
-0.7347653911814743,-2.7961126132418466,0,1
-0.7345404322057105,-2.7949332080566514,0,1
-0.7349586674691444,-2.7958374962734847,0,1
-0.734403828471417,-2.7938198023460648,0,1
-0.7339880791705873,-2.7919160668525778,0,1
-0.7342223160394121,-2.7925120752416905,0,1
-0.7336976546277695,-2.7919655938381704,0,1
-0.7342147607520284,-2.7922519184657943,0,1
-0.73440637194736,-2.7905952649592725,0,1
-0.7346402581604324,-2.788812084578793,0,1
-0.7355564839973134,-2.789427699820072,0,1
-0.7329808479322402,-2.785394177405088,0,1
-0.7344265578082837,-2.7978059828856052,0,1
-0.7338374707346963,-2.7975999859381395,0,1
-0.7328917861044106,-2.7975110804221033,0,1
-0.7319253016759966,-2.795567966228698,0,1
-0.7323712853192759,-2.7964380285018784,0,1
-0.7338057215278883,-2.7947898482764897,0,1
-0.7339027837202472,-2.7940386473995016,0,1
-0.7338289886465323,-2.7925467587207278,0,1
-0.7326707996442398,-2.7915524661226883,0,1
-0.7341016928162523,-2.7910552298479225,0,1
-0.7327763818590396,-2.7914244350324506,0,1
-0.7350701561962263,-2.790113071645181,0,1
-0.7342914061411001,-2.7894912184328273,0,1
-0.7345532789986962,-2.786608917061607,0,1
-0.7330747185345933,-2.7876671047186687,0,1
-0.733144425506378,-2.7992628818468086,0,1
-0.7347560177514433,-2.799349176585697,0,1
-0.7328585536653018,-2.795919637073526,0,1
-0.7333463713376855,-2.7950065498391177,0,1
-0.733750913066353,-2.795313914752896,0,1
-0.7332803363901562,-2.7937224473792006,0,1
-0.7329703140989012,-2.793132814709979,0,1
-0.7346410947348944,-2.7914133311079867,0,1
-0.7335888613951113,-2.790264584085958,0,1
-0.7346420812210065,-2.7908193204427256,0,1
-0.7345708171436495,-2.7916434247731714,0,1
-0.7339075953380407,-2.7880389590933956,0,1
-0.7337146884065191,-2.788609229451257,0,1
-0.7327167132406969,-2.7989252755878242,0,1
-0.7328432378727718,-2.7985714305509863,0,1
-0.7329351763077553,-2.7972440733619752,0,1
-0.732527035266662,-2.7963006134537873,0,1
-0.7332231203540484,-2.7973564740986823,0,1
-0.7332323741339201,-2.7957391934950735,0,1
-0.7328418923268434,-2.7939480504504597,0,1
-0.7314700635986264,-2.793141769049654,0,1
-0.7322050278940391,-2.79241577053266,0,1
-0.7329193852436581,-2.791165273114609,0,1
-0.7328153377079935,-2.791182995823371,0,1
-0.7311628602421953,-2.789729831451487,0,1
-0.7316848202478167,-2.7911261509397973,0,1
-0.7330371891327646,-2.7884444259659085,0,1
-0.7318965523024635,-2.799553494071591,0,1
-0.7334381585796459,-2.796347532411164,0,1
-0.7328402133275481,-2.798489453838285,0,1
-0.7334096008735016,-2.796464470150271,0,1
-0.7329810736994177,-2.794338521534619,0,1
-0.73330390175812,-2.7937359956396355,0,1
-0.732261348458835,-2.7931473653170715,0,1
-0.7328906080858028,-2.7908737946307034,0,1
-0.732697713095819,-2.7921478823771406,0,1
-0.7332836069210402,-2.7901750703514843,0,1
-0.7329895162458668,-2.7905095283680517,0,1
-0.7325078755939219,-2.789025246996644,0,1
-0.7342581679701975,-2.7890796527276205,0,1
-0.7310147963601562,-2.7992058922520555,0,1
-0.7319329909282083,-2.7970781004145358,0,1
-0.7320672016917309,-2.795992550949056,0,1
-0.7338038096994828,-2.79515074130604,0,1
-0.7332841768370001,-2.7938324549519846,0,1
-0.7333747339562381,-2.7950289437402147,0,1
-0.7312505259701311,-2.7936738167599198,0,1
-0.7318992235354077,-2.7919944880967753,0,1
-0.7325785602758134,-2.792964095247929,0,1
-0.7332524114848586,-2.790189678839689,0,1
-0.7315169519152755,-2.7904537676680206,0,1
-0.7310527585245555,-2.7876460727029566,0,1
-0.731153034925796,-2.7997787359283963,0,1
-0.7316494429691393,-2.797487441174369,0,1
-0.7316639452907631,-2.7967372051197983,0,1
-0.7321878123171757,-2.795700258866189,0,1
-0.7313654698773658,-2.795762789283171,0,1
-0.7309746253448262,-2.7934575597274263,0,1
-0.730725827226844,-2.792663353254249,0,1
-0.7300559530172208,-2.793140207352973,0,1
-0.7323748749921887,-2.7922836823615653,0,1
-0.7299403913997293,-2.7920419003269497,0,1
-0.7318259263395285,-2.7905253939558046,0,1
-0.7304789752313087,-2.790021788927984,0,1
-0.7306823619140518,-2.797121823538364,0,1
-0.7308314056629002,-2.7997575607765017,0,1
-0.7318104324029957,-2.797367162869009,0,1
-0.7312695296832953,-2.7962818859788467,0,1
-0.7312037348488499,-2.7952461878404535,0,1
-0.7320005183518549,-2.7953074903256216,0,1
-0.731206033054145,-2.7933486543591037,0,1
-0.7322715793825731,-2.7912816325518826,0,1
-0.73114837370785,-2.7926648661694147,0,1
-0.7305977560682008,-2.7905895687722273,0,1
-0.7318808893373364,-2.789001745952053,0,1
-0.7320350939514105,-2.7888875744231942,0,1
-0.7317701617263687,-2.799026655346576,0,1
-0.7307245476634808,-2.796854133541955,0,1
-0.7308656311399453,-2.7966969371839348,0,1
-0.7319264868401545,-2.7959982691105294,0,1
-0.7299858074538543,-2.795622834883767,0,1
-0.7307850482026896,-2.7938610826825516,0,1
-0.732370807273847,-2.791834959535105,0,1
-0.7291640614196686,-2.7917019968588033,0,1
-0.7307899198347365,-2.7921918648226685,0,1
-0.7306760884926514,-2.7903066733119157,0,1
-0.7312566423766026,-2.7903326856067876,0,1
-0.7298330466383162,-2.7972578127165915,0,1
-0.7318068443911265,-2.7971762055891047,0,1
-0.7302498295504424,-2.7968646966847586,0,1
-0.7303439714318141,-2.796527980662969,0,1
-0.7297517767007795,-2.7945548573953127,0,1
-0.730353910365734,-2.7944202826902518,0,1
-0.7299747926846295,-2.792854190819706,0,1
-0.73028834850096,-2.791488791668051,0,1
-0.7308078006026052,-2.7920500626900178,0,1
-0.7305552161275503,-2.792092861544825,0,1
-0.730171106029472,-2.789941430349375,0,1
-0.731412999269415,-2.796816242382055,0,1
-0.7300903011119505,-2.7961456988853524,0,1
-0.7297840224791075,-2.797804985104876,0,1
-0.7297650765110487,-2.795358715219048,0,1
-0.7280218497630306,-2.7959915725917157,0,1
-0.7301984484762418,-2.7943067185836874,0,1
-0.7287075925349062,-2.7941789828143477,0,1
-0.7314411140067107,-2.7939688990575116,0,1
-0.7291703359705757,-2.7917014455193714,0,1
-0.7312040209083286,-2.7906035437595733,0,1
-0.7304828033992985,-2.799643975415818,0,1
-0.7282747213909302,-2.797800189036299,0,1
-0.729132975715426,-2.79605556669217,0,1
-0.7299406789759557,-2.793707217598658,0,1
-0.7297734122424966,-2.79485292902403,0,1
-0.7297227505466289,-2.793829330206959,0,1
-0.7286455908837625,-2.792957205564338,0,1
-0.7295138060489008,-2.792345171363137,0,1
-0.7291736068396559,-2.789516828842894,0,1
-0.7290771273754366,-2.789591789560377,0,1
-0.7311351149386588,-2.7981518134866543,0,1
-0.7280633715045456,-2.796860897167318,0,1
-0.7289485381339257,-2.795814835012093,0,1
-0.7297079393979296,-2.7961656006382167,0,1
-0.7277083219477012,-2.7945016097064532,0,1
-0.729311160602463,-2.7940964966152806,0,1
-0.7290363519192116,-2.793506767495015,0,1
-0.7284558734962372,-2.7917812021072077,0,1
-0.7264938940362086,-2.7923085113127404,0,1
-0.7288294813986509,-2.7975807702512423,0,1
-0.7279442780777303,-2.799165594823371,0,1
-0.7279596363052729,-2.7981419492937802,0,1
-0.7277113686788106,-2.7953244200109912,0,1
-0.7274367975678793,-2.7945946115296336,0,1
-0.7287786553286228,-2.794285619884834,0,1
-0.7286093590640311,-2.79332934479831,0,1
-0.7282694700022047,-2.7925018476009433,0,1
-0.7282342843742503,-2.791496700529039,0,1
-0.727085159104725,-2.7975900265569575,0,1
-0.7279836026648879,-2.797376492597416,0,1
-0.7280296440403315,-2.79725415725197,0,1
-0.7284634453266787,-2.7963261509096844,0,1
-0.7281719761744393,-2.7948333850557683,0,1
-0.7267468576282813,-2.7944569960095915,0,1
-0.7289190883546035,-2.792882231712104,0,1
-0.7282264466821312,-2.7917811707230875,0,1
-0.7268484694469786,-2.7981662309491346,0,1
-0.7289440035171036,-2.7975672079409284,0,1
-0.727100281815336,-2.7973095401552475,0,1
-0.7261116748034415,-2.7958438474457465,0,1
-0.7277791914817323,-2.797286224140954,0,1
-0.7271438846809356,-2.793752539810581,0,1
-0.7269724818773852,-2.793208164339855,0,1
-0.7287098851813272,-2.7937867729096943,0,1
-0.7281201842406554,-2.79837769665192,0,1
-0.7266077420519175,-2.7967113666476875,0,1
-0.726360361028889,-2.7985329351350976,0,1
-0.726047306412076,-2.7961995105463044,0,1
-0.7264235156097862,-2.793881561921468,0,1
-0.7277330649210432,-2.7946225350039215,0,1
-0.7289577009184016,-2.79329767752068,0,1
-0.7268768910819887,-2.7988887288767024,0,1
-0.7274079259653368,-2.7966852605460173,0,1
-0.7264903572931659,-2.796921880332208,0,1
-0.7247146116610312,-2.796144627933985,0,1
-0.7252790847996127,-2.79696534028221,0,1
-0.7265329237543207,-2.794676980454946,0,1
-0.7267873421008914,-2.794425079355515,0,1
-0.7265981444378925,-2.7933060839938566,0,1
-0.7255601511963893,-2.800428912600186,0,1
-0.7264057093018268,-2.7957208975106336,0,1
-0.7265869012536031,-2.7960051104415395,0,1
-0.7260824154399745,-2.7951335777255233,0,1
-0.7256692917904646,-2.794627111498591,0,1
-0.7268154857550476,-2.7942887126559697,0,1
-0.7255946599915901,-2.798693211943376,0,1
-0.7256546270377162,-2.7981420600720686,0,1
-0.7251642913061055,-2.7975655541124103,0,1
-0.7240158792221882,-2.7965660355633117,0,1
-0.7255173544234926,-2.796873845190953,0,1
-0.7250942566523935,-2.7926878631744354,0,1
-0.7255833550008065,-2.7976130352568376,0,1
-0.7256184232054366,-2.79756780844288,0,1
-0.7255499898342811,-2.7967914640759775,0,1
-0.7263342928283665,-2.7939233422297067,0,1
-0.7251419672267772,-2.7951081033032494,0,1
-0.7258490222113776,-2.796353864738514,0,1
-0.7248213335506524,-2.7984024637969966,0,1
-0.7247728856418972,-2.7969513531380015,0,1
-0.7229441141253511,-2.795762405495219,0,1
-0.7248111100044191,-2.795501605384352,0,1
-0.7230151564508353,-2.7964468628469965,0,1
-0.7252283895041183,-2.7983539740314898,0,1
-0.7244149425332325,-2.7977833109764516,0,1
